Title,Company,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max,salary_avg_vnd,salary_mins,salary_maxs
Sales Support Coordinator,PC1 Australia,"Ngõ 583 Đường Nguyễn Trãi, Thanh Xuân Bắc, Thanh Xuân, Hà Nội, Việt Nam","Executive Summary
PC1 Group Vietnam is seeking a full-time, Vietnam-based Sales Support Coordinator to support the growth of our structural steel export business into the Australian market. This is a client-facing and internally focused role designed to bridge business development, customer engagement, supply chain coordination, and sales administration.

The Opportunity
You will be the primary point of contact supporting the sales and commercial functions of PC1 Group’s Australian structural steel operations. Working closely with our Australia-based management team and Vietnam-based production teams, you will help grow our pipeline, manage client relationships, and ensure smooth commercial operations for projects ranging from 20 to 9,000 tonnes.

This role combines:
• Sales and business development support targeting the Australian commercial and
industrial market
• Customer engagement and relationship management
• Supply chain coordination between Vietnam manufacturing and Australian project
requirements
• Document control, contract administration, and export compliance support
• Marketing support including content, submissions, and company presentations
Your work will directly contribute to PC1 Group’s ability to grow its project pipeline and maintain strong client relationships in the Australian market.

What You’ll Be Responsible For
• Supporting the sales director and management team in identifying and pursuing new
business opportunities in the Australian structural steel market
• Engaging with clients via email and video calls to support enquiries, provide project
updates, and maintain ongoing relationships
• Preparing and managing commercial documentation including quotes, purchase
orders, delivery schedules, and export paperwork
• Coordinating with the Vietnam production and logistics teams to ensure on-time
delivery and supply chain visibility
• Assisting with tender submissions including formatting, compiling supporting
documentation, and tracking submission deadlines
• Maintaining a CRM or project pipeline tracker to monitor leads, active projects, and
follow-up actions
• Supporting marketing activities including preparation of capability statements,
LinkedIn content, and project case studies
• Performing general sales administration and internal reporting tasks as required",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Dịch vụ Y tế/Chăm sóc sức khỏe, Customer Engagement, Document Control, General Communication English, Sales Support, Supply Chain Management, PC1 Australia, Hà Nội",,0,100,,,
Trưởng Ban Quản Lý Vận Hành Tòa Nhà Xanh - Đô thị Xanh,Capital House Group,"Tòa nhà Ecolife, 58 Tố Hữu, Trung Văn, Hà Nội, Tầng 11-12 Tòa A3, EcoLife Capitol, 58 Tố Hữu, Nam Từ Liêm, Hà Nội","MỤC TIÊU
Chuẩn hóa bộ tiêu chuẩn vận hành tòa nhà theo tiêu chuẩn dịch vụ 4 sao, xây dựng trải nghiệm tận Tâm – Chuyên nghiệp cho cư dân, phát triển cộng đồng sống Xanh.

VAI TRÒ CHÍNH
• Xây dựng & chuẩn hóa hệ thống quy trình vận hành và tiêu chuẩn dịch vụ 4 sao
• Quản lý, đào tạo đội ngũ vận hành theo định hướng Dịch vụ từ Tâm
• Đảm bảo chất lượng dịch vụ, xử lý trải nghiệm cư dân tinh tế và hiệu quả",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-03-21,Bất Động Sản,Bất Động Sản/Cho thuê,,Không giới hạn,Không hiển thị,08:15 - 17:30,Giám Đốc và Cấp Cao Hơn,"Dịch Vụ Khách Hàng, Quản Lý Vận Hành, Tư Duy Dịch Vụ",Bất kỳ,Không giới hạn,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Bất Động Sản, Kinh Doanh Thương Mại, Cho Thuê & Quản Lý Tài Sản, Bất Động Sản/Cho thuê, Dịch Vụ Khách Hàng, Quản Lý Vận Hành, Tư Duy Dịch Vụ, Capital House Group, Hà Nội","Kinh Doanh Thương Mại, Cho Thuê & Quản Lý Tài Sản",0,100,,,
Nhân Viên Bảo Trì,"Vietnam Intersnack Cashew Co., Ltd","Nhà máy Phan Thiết/Phan Thiet Factory: Lô 1/9+11+13 và lô 1/6 KCN Phan Thiết, Bình Thuận, 76 Le Lai, Ben Thanh Ward, Dist 1, Ho Chi Minh City","• Thực hiện các hoạt động của nhóm bảo trì trong ca theo kế hoạch của leader
• Thực hiện bảo trì định kỳ theo kế hoạch
• Xử lý các sự cố trong ca
• Chuẩn bị spare part, dụng cụ cho các công việc bảo trì theo đúng kế hoạch.
• Phối hợp với giám sát xây dựng kế hoạch bảo trì tổng thể cho các thiết bị trong nhà máy
• Xây dựng tài liệu hướng dẫn bảo trì
• Đề xuất & thực hiện các cải tiến nhằm nâng cao hiệu quả hoạt động của thiết bị
• Kiểm tra hàng tồn kho, phụ tùng kỹ thuật luôn ở trạng thái sẵn sàng cho nhà máy hoạt động liên tục",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,"Kỹ Thuật, Bảo trì/Bảo Dưỡng, Cơ khí/Máy móc/Thiết bị công nghiệp, Bảo Trì, Cơ Khí, Maintenance, Bảo Dưỡng, Tự Động Hóa, Vietnam Intersnack Cashew Co., Ltd, Bình Thuận",,0,100,,,
Chuyên Viên Tuân Thủ Thuế&kiểm Soát Công Nợ,Công Ty Cổ Phần Thép Việt Xô Hà Nội,"Tầng 2, tòa nhà Tứ Hiệp plaza, Phường Yên Sở, Hà Nội, Tầng 2, tòa nhà Tứ Hiệp plaza, đường Nguyễn Bồ, phường Yên Sở","1. MỤC TIÊU VỊ TRÍ
- Đảm bảo vận hành tuân thủ đúng quy định pháp luật, tuân thủ kỳ hạn kê khai và quản lý công nợ minh bạch; đồng thời thiết kế lại quy trình và nâng cao năng lực 2 team (THUẾ&CÔNG NỢ) trong giai đoạn cải tổ.
2. MÔ TẢ CÔNG VIỆC
2.1. Mảng thuế
- Kiểm soát và phê duyệt tờ khai thuế trước khi nộp: VAT, TNDN, TNCN, thuế nhà thầu, thuế XNK
- Rà soát quy trình hoàn thuế VAT hàng xuất khẩu, đảm bảo hồ sơ đầy đủ và đúng hạn
- Giám sát rủi ro thuế: phát hiện sai sót kê khai, chênh lệch số liệu BCTC với tờ khai
- Chuẩn bị và hỗ trợ team trong các đợt thanh tra, kiểm tra thuế
- Xây dựng lịch kê khai thuế hàng năm và theo dõi tuân thủ deadline
2.2. Mảng công nợ
- Giám sát tổng công nợ phải thu/phải trả, đảm bảo đối chiếu định kỳ với khách hàng và nhà cung cấp
- Kiểm soát tuổi nợ (aging report): phân tích nợ quá hạn, đề xuất biện pháp thu hồi
- Rà soát chính sách tín dụng thương mại của công ty; đề xuất điều chỉnh hạn mức nợ
- Giám sát hạch toán công nợ phải trả nhà cung cấp nguyên liệu thép nhập khẩu
- Phối hợp với bộ phận kinh doanh trong xử lý tranh chấp công nợ
2.3. Tham gia cải tiến quy trình
- Đánh giá hiện trạng quy trình công nợ, lập báo cáo GAP analysis trong 30 ngày đầu
- Xây dựng SOP chuẩn cho quy trình kê khai thuế và quản lý công nợ
- Đề xuất và triển khai ứng dụng phần mềm hỗ trợ (nếu cần): HTKK, phần mềm hóa đơn điện tử, CRM công nợ
2.4. Thời gian làm việc: Từ thứ 2 đến hết sáng thứ 7",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,"Kế Toán/Kiểm Toán, Kế Toán Thuế, Sản xuất, Giao Tiếp, Kế Toán, Kiểm Toán, Quản Lý Công Nợ, Thuế, Công Ty Cổ Phần Thép Việt Xô Hà Nội, Hà Nội",,0,100,17500000.0,15000000.0,20000000.0
Chuyên Viên Nhân Sự,T&T Group,"Ha Noi, Tòa nhà T&T Group, Số 31-33 Ngô Quyền, Hoàn Kiếm, Hà Nội","- Tiếp đón CBNV mới,thực hiện các thủ tục chuẩn bị hồ sơ cá nhân, ký kết HĐ thử việc/HĐLĐ,...
- Soạn thảo các văn bản tiếp nhận CBNV mới: Quyết định tiếp nhận, HĐ thử việc/HĐLĐ,...
- Hỗ trợ CBNV mới trong thời gian thử việc: hướng dẫn nội quy, quy định của TĐ, làm quen với môi trường, văn hóa,...
- Tổ chức đánh giá sau thử việc: hướng dẫn CBNV thực hiện báo cáo, tiếp nhận báo cáo, rà soát báo cáo, lập tờ trình kết thúc thử việc, ký kết HĐLĐ/chấm dứt HĐTV.

- Thu thập, sắp xếp, lưu trữ hồ sơ nhân sự, dữ liệu nhân sự của CBNV tại VPTĐ và nhân sự cao cấp của CTTV.
- Cập nhật thông tin nhân sự định kỳ/khi có sự thay đổi ""
- Trích xuất thông tin nhân sự theo yêu cầu công việc tại VPTĐ

- Tham gia thẩm định định biên nhân sự, kế hoạch nhân sự của các đơn vị dựa trên CCTC, MTCV, KHCV và nguồn nhân lực hiện có.
- Quản lý các thay đổi nhân sự và tiến độ, khối lượng công việc so với định biên được duyệt.

- Thông báo tới các CBNV và CBQL về việc HĐLĐ chuẩn bị hết hạn, hướng dẫn CBNV và CBQL chuẩn bị hồ sơ tái ký HĐLĐ.",,,,,,,,,,,,,,,,"Nhân Sự/Tuyển Dụng, Lương Thưởng & Phúc Lợi, Bất Động Sản/Cho thuê, C&B, HR Services, Quan Hệ Lao Động, Human Resource, Nhân Sự, T&T Group, Hà Nội",,0,100,,,
Chuyên Viên Đào Tạo,Công Ty TNHH Dịch Vụ Ăn Uống Ba Sao,"38 Bà Triệu, Hà Nội, Tầng 3, Số 38 Bà Triệu - Hoàn Kiếm - Hà Nội","1. Thực hiện công tác đào tạo
- Chủ trì các khóa đào tạo hội nhập cho nhân viên bếp (canteen), đảm bảo nhân viên mới nắm vững nội quy, quy trình làm việc, tiêu chuẩn vệ sinh và an toàn thực phẩm.
- Tổ chức đào tạo nội bộ cho nhân sự tại các canteen được phân công quản lý.
- Chuẩn bị tài liệu, cơ sở vật chất và các điều kiện cần thiết cho các khóa đào tạo nội bộ.
- Phối hợp với đối tác bên ngoài để tổ chức các khóa đào tạo theo kế hoạch.

2. Giám sát việc thực hiện sau đào tạo
- Giám sát Quản lý/Bếp trưởng (canteen được phân công) trong việc đảm bảo nhân viên thực hiện đúng quy trình, quy định, kiến thức và kỹ năng đã được đào tạo.
- Hỗ trợ đánh giá mức độ tuân thủ của nhân viên bếp sau đào tạo, phát hiện và đề xuất giải pháp cải thiện khi cần.
- Theo dõi, kiểm tra và nhắc nhở việc áp dụng các kiến thức đào tạo vào thực tế công việc.

3. Quản lý hồ sơ và chứng chỉ đào tạo
- Thu thập và lưu trữ văn bằng, chứng chỉ của nhân viên sau khi hoàn thành các khóa đào tạo.
- Cập nhật thông tin, tài liệu hồ sơ đào tạo vào hệ thống quản lý dữ liệu chung của công ty.
- Chuẩn bị và thực hiện hồ sơ kiểm tra audit liên quan đến đào tạo, đảm bảo tuân thủ tiêu chuẩn ISO/HACCP.

4. Hỗ trợ xây dựng và tổ chức chương trình đào tạo
- Khảo sát và xác định nhu cầu đào tạo theo hướng dẫn của Trưởng nhóm hoặc Trưởng phòng.
- Phối hợp tổ chức các buổi đào tạo, đảm bảo chương trình diễn ra suôn sẻ và đạt hiệu quả cao.

5. Soạn thảo và lưu trữ tài liệu đào tạo
- Soạn thảo nội dung giảng dạy, tài liệu đào tạo nội bộ, tài liệu đào tạo e-learning, bộ câu hỏi kiểm tra, …
- Đảm bảo tài liệu đào tạo tuân thủ theo tiêu chuẩn ISO/HACCP và các quy định nội bộ.

6. Thực hiện các công việc khác
- Hỗ trợ setup, đào tạo và giám sát quá trình vận hành tại các canteen mới.
- Thực hiện các nhiệm vụ đột xuất hoặc bổ sung theo phân công của Trưởng nhóm
hoặc Trưởng phòng.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,"Nhân Sự/Tuyển Dụng, Đào Tạo Và Phát Triển, Giáo dục/Đào Tạo, Gia Công Áp Lực, Giao Tiếp, Quản Lý Đào Tạo, Tin Học Văn Phòng, Đào Tạo Nhân Sự, Công Ty TNHH Dịch Vụ Ăn Uống Ba Sao, Hà Nội",,0,100,14500000.0,11000000.0,18000000.0
Commercial Design - Chuyên Viên Thiết Kế Thương Mại Trang Sức,Công ty Cổ phần Kobayashi Vina,"223 Phan Huy Ích, Phường An Hội Tây, TP Hồ Chí Minh, Việt Nam, 223 Phan Huy Ích, Phường An Hội Tây, TP Hồ Chí Minh, Việt Nam","Mục tiêu công việc:
Chúng tôi đang tìm kiếm đồng đội tâm huyết để cùng ""chắp cánh"" cho các ý tưởng sáng tạo của khách hàng DTC , biến những bản moodboard sơ khai thành những sản phẩm trang sức tinh tế, có khả năng sản xuất linh hoạt (Low-MOQ) và đạt hiệu quả kinh tế cao.
KOBAVINA sẵn sàng đồng hành cùng bạn, những cộng sự Chính trực và Tận tâm trong hành trình chắp cánh cho các thương hiệu trang sức.

Nhiệm vụ Chính:
1. Sáng tạo & Định hướng Concept
• Tiếp nhận & Chuyển hóa Brief: Chủ động làm việc với bộ phận kinh doanh để tiếp nhận Moodboard/Brief từ các thương hiệu DTC toàn cầu.
• Phát triển concept: Đảm bảo sản phẩm có tính dẫn dắt thị trường nhưng vẫn giữ được nét tinh tế của nghệ nhân.
• Nghiên cứu thị trường mục tiêu: Phân tích phong cách của các thương hiệu cao cấp và khởi nghiệp tiềm năng để tư vấn định hướng thiết kế phù hợp.
• Nghiên cứu xu hướng & Chất liệu: Tập trung vào các vật liệu và kim loại quý theo định hướng của công ty.
2. Hiện thực hóa Giải pháp Thương mại
• Số hóa thiết kế (CAD/3D): Sử dụng công nghệ để đảm bảo sản phẩm thực tế phản ánh trọn vẹn 100% linh hồn của bản vẽ phác thảo.
• Đảm bảo tính Cạnh tranh của Sản phẩm
• Thiết lập định mức nguyên vật liệu (BOM) và Tech Packs thông minh
• Tư vấn kỹ thuật: Đảm bảo thiết kế đẹp nhưng phải sản xuất được (Design for Manufacturing), điều chỉnh thiết kế để sản phẩm vừa đẹp vừa tối ưu quy trình chế tác, giảm thiểu rủi ro lỗi sản phẩm.
• Kiểm soát mẫu thử (Prototype): Phối hợp sát sao với xưởng và KCS để kiểm tra mẫu đầu tiên, đảm bảo tính thẩm mỹ cao nhất trước khi sản xuất hàng loạt
3. Bảo mật Thư viện CAD:
• Sắp xếp, lưu trữ và bảo mật tuyệt đối toàn bộ thư viện CAD gốc của công ty và khách hàng.

Quyền lợi:
• Thu nhập: 14-21 triệu VNĐ• Thưởng theo hiệu quả kinh doanh, team building, Thưởng Lễ Tết sinh nhật.
• Tham gia các hoạt động team building, hưởng các chế độ phúc lợi của công ty.

Chế độ: BHXH, BHYT, BHTN đầy đủ theo quy định của Nhà nước; nghỉ các dịp lễ, Tết theo quy định Công ty và Nhà nước.

Cơ hội phát triển:
• Làm việc trực tiếp cùng Ban Giám đốc, tiếp cận tiêu chuẩn khắt khe của Nhật Bản.
• Cơ hội làm việc với các thương hiệu lớn, có uy tín trong ngành.
• Lộ trình phát triển rõ ràng khi chứng minh được năng lực và sự phù hợp.
• Được đào tạo và định hướng phát triển thông qua các buổi làm việc 1:1 hàng quý với quản lý.
• Nâng cao kỹ năng vận hành và ứng dụng các phần mềm CRM hiện đại (Base, Odoo).
• Môi trường làm việc rõ ràng, minh bạch. Mọi thứ vận hành theo hệ thống, không mơ hồ.

Địa điểm làm việc:• 223 Phan Huy Ích, Phường An Hội Tây, TP Hồ Chí Minh, Việt Nam",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-03-21,Thiết Kế,Thời trang/Trang sức,1.0,Cử nhân,Không hiển thị,08:30 - 18:00,Nhân viên,"Thiết Kế 3D, Sử Dụng Rhino/Matrix, Tư Duy Thẩm Mỹ, Quy Trình Chế Tác Kim Hoàn, Giao Tiếp",Tiếng Việt,Không hiển thị,Không hiển thị,Thứ 2  đến Thứ 6,Toàn thời gian,"Thiết Kế, Thiết Kế Thời Trang/Trang Sức, Thời trang/Trang sức, Thiết Kế 3D, Sử Dụng Rhino/Matrix, Tư Duy Thẩm Mỹ, Quy Trình Chế Tác Kim Hoàn, Giao Tiếp, Công ty Cổ phần Kobayashi Vina, Hồ Chí Minh",Thiết Kế Thời Trang/Trang Sức,0,100,17500000.0,14000000.0,21000000.0
Trưởng Ban Vận Hành Tiện Ích Tòa Nhà Xanh - Đô thị Xanh,Capital House Group,"Tòa nhà Ecolife, 58 Tố Hữu, Trung Văn, Hà Nội, Tầng 11-12 Tòa A3, EcoLife Capitol, 58 Tố Hữu, Nam Từ Liêm, Hà Nội","VAI TRÒ CHÍNH
• Quản lý & vận hành hệ thống tiện ích tòa nhà phức hợp (cảnh quan, không gian chung, dịch vụ cộng đồng…)
• Nâng cao chất lượng trải nghiệm cư dân theo định hướng sống xanh & bền vững
• Thiết kế trải nghiệm, hoạt động, dịch vụ gia tăng giá trị cuộc sống xanh
• Kết nối cư dân, xây dựng cộng đồng sống văn minh",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,"Bất Động Sản, Kinh Doanh Thương Mại, Cho Thuê & Quản Lý Tài Sản, Bất Động Sản/Cho thuê, Dịch Vụ Khách Hàng, Phát Triển Cộng Đồng, Quản Lý Trải Nghiệm Khách Hàng, Tư Duy Sáng Tạo, Capital House Group, Hà Nội",,0,100,,,
B2B Account Executive - Chuyên Viên Quản Lý Khách Hàng Chiến Lược,Công ty Cổ phần Kobayashi Vina,"223 Phan Huy Ích, Phường An Hội Tây, TP Hồ Chí Minh, Việt Nam, 223 Phan Huy Ích, Phường An Hội Tây, TP Hồ Chí Minh, Việt Nam","Mục tiêu công việc:
Chúng tôi đang tìm kiếm đồng đội tâm huyết để trao gửi tệp khách hàng chiến lược, cùng nhau xây dựng những mối quan hệ đối tác bền vững tệp với khách hàng B2B hiện hữu. Là ""Gương mặt đại diện"" của KOBAVINA, bạn sẽ chịu trách nhiệm nuôi dưỡng sự hài lòng của khách hàng và tối ưu hóa doanh thu từ tệp khách hàng hiện hữu thông qua tư vấn giải pháp, tăng giá trị vòng đời khách hàng.
KOBAVINA sẵn sàng đồng hành cùng bạn, những cộng sự Chính trực và Tận tâm trong hành trình chắp cánh cho các thương hiệu trang sức.

Nhiệm vụ Chính:
1. Quản trị & Phát triển Quan hệ Khách hàng B2B
• Duy trì liên hệ thường xuyên, đảm bảo thông tin thông suốt, xây dựng niềm tin dựa trên giá trị ""Tôn trọng và Tin tưởng"".
• Hỗ trợ chuẩn bị Proposal, báo giá và hợp đồng cho các dự án OEM/ODM.
• Phối hợp tìm kiếm cơ hội gia tăng doanh thu từ tệp khách hàng hiện hữu
2. Điều phối theo dõi tiến độ đơn
• Kết nối khách hàng với team Thiết kế, KCS và Xưởng sản xuất. Đảm bảo thông tin yêu cầu (Brief) được truyền đạt chính xác 100%.
• Theo dõi tiến độ đơn hàng để đảm bảo giao hàng đúng hạn (On-time delivery) và đúng chuẩn thẩm mỹ đã cam kết.
3. Xử lý Sự cố & Chăm sóc Sau bán hàng:
• Tiếp nhận, lắng nghe và phản hồi nhanh chóng mọi thắc mắc hoặc khiếu nại từ đối tác.
• Chủ động phối hợp cùng các bộ phận liên quan để đưa ra phương án xử lý kịp thời, thấu đáo.

Quyền lợi:
• Thu nhập: 16 - 25 triệu VNĐ
• Thưởng theo hiệu quả kinh doanh, team building, Thưởng Lễ Tết sinh nhật.
• Tham gia các hoạt động team building, hưởng các chế độ phúc lợi của công ty.

Chế độ:
• BHXH, BHYT, BHTN đầy đủ theo quy định của Nhà nước; nghỉ các dịp lễ, Tết theo quy định Công ty và Nhà nước.

Cơ hội phát triển:
• Được Nắm giữ tệp khách hàng chất lượng, không phải ""Cold Call"" tìm khách mới từ đầu.
• Cơ hội làm việc với các thương hiệu lớn, có uy tín trong ngành.
• Làm việc trực tiếp cùng Ban Giám đốc trong môi trường quản trị phẳng.
• Lộ trình phát triển rõ ràng khi chứng minh được năng lực và sự phù hợp.
• Được đào tạo và định hướng phát triển thông qua các buổi làm việc 1:1 hàng quý với quản lý.
• Nâng cao kỹ năng vận hành và ứng dụng các phần mềm CRM hiện đại (Base, Odoo).
• Môi trường làm việc rõ ràng, minh bạch. Mọi thứ vận hành theo hệ thống, không mơ hồ.

Địa điểm làm việc:• 223 Phan Huy Ích, Phường An Hội Tây, TP Hồ Chí Minh, Việt Nam",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Thời trang/Trang sức, Kỹ năng giao tiêp, Kỹ năng đàm phán, kỹ năng trình bày, Thương Mại, Chăm Sóc Khách Hàng, Công ty Cổ phần Kobayashi Vina, Hồ Chí Minh",,0,100,20500000.0,16000000.0,25000000.0
Trình Dược Viên Bệnh Viện Khu Vực TP.HCM,Công Ty TNHH Dược Phẩm Nhất Anh,"Minh Anh Tower, Lầu 7, 307/4 Nguyễn Văn Trỗi, Phường Tân Sơn Hòa, TP. HCM, Minh Anh Tower - Lầu 7; 307/4 Nguyễn Văn Trỗi, Phường 1, Quận Tân Bình","• Bán hàng, tư vấn, giới thiệu sản phẩm của công ty đến Phòng khám/Bệnh viện.
• Phát triển các sản phẩm của công ty trên địa bàn được giao.
• Đạt kết quả kinh doanh tối ưu trong điều kiện cho phép giúp cho công ty mở rộng thị phần.
• Hoàn thành nhiệm vụ, chỉ tiêu được giao.
• Triển khai chương trình marketing tới khách hàng.
• Thực hiện họp và báo cáo định kỳ theo quy định của công ty.
• Cập nhật thông tin khách hàng, thông tin sản phẩm – thị trường",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,"Dược, Phân Phối Dược Phẩm, Dược phẩm, Bán Hàng, Dược, Tư Vấn, Marketing, Công Ty TNHH Dược Phẩm Nhất Anh, Hồ Chí Minh",,0,100,27600000.0,9200000.0,46000000.0
Phó Phòng Tài Chính Kế Toán,CÔNG TY CỔ PHẦN CẢNG CONTAINER QUỐC TẾ HATECO HẢI PHÒNG,"Bến số 5, số 6 khu Bến cảng Lạch Huyện, Cát Hải, TP. Hải Phòng, Bến 5-6 Lạch Huyện, Cát Hải, Hải Phòng","• Hỗ trợ Trưởng phòng trong quản lý, điều hành các công việc của phòng.
• Quản lý tài sản/ nợ tiền tệ và cơ cấu vốn.
• Kiểm soát nội bộ mạnh mẽ, dựa trên rủi ro, quản lý rủi ro và phòng chống gian lận.
• Cung cấp chỉ dẫn và hướng dẫn cho các nhân viên của phòng về quy chế tài chính, chế độ kế toán - thống kê hiện hành, cũng như quy trình làm việc.
• Lập kế hoạch và phân tích tài chính, phân tích đầu tư.
• Chịu trách nhiệm về kế toán thuế, lập kế hoạch thuế và tuân thủ thuế.
• Quản lý vốn lưu động, các khoản phải thu, phân tích tín dụng, theo dõi thanh toán, theo dõi các khoản phải thu, đặc biệt là các khoản phải thu quá hạn.
• Quản lý tài sản/ nợ tiền tệ và cơ cấu vốn.
• Tối đa hóa giá trị từ các nguồn lực trong khi vẫn đảm bảo tuân thủ.
• Đảm bảo quy trình kế toán hiệu quả.
• Đảm bảo các sự kiện kinh doanh có tác động đến tiền tệ đều được ghi lại và báo cáo chính xác và kịp thời trong các hệ thống liên quan.
• Đảm bảo thông tin tài chính đáng tin cậy, chính xác và tuân thủ yêu cầu pháp luật.
• Tham gia vào việc lập kế hoạch ngân sách tháng, quý, năm và tổng kết.
• Xử lý các báo cáo thống kê liên quan đến kế toán gửi cơ quan chức năng.
• Chuẩn bị và theo dõi KPI đảm bảo chất lượng dịch vụ.
• Lập và luân chuyển chứng từ, cung cấp số liệu, tài liệu, báo cáo theo quy định hoặc khi có yêu cầu của lãnh đạo Công ty, của đối tác kinh doanh.
• Chuẩn bị và phối hợp kiểm toán tài chính, bao gồm cả nội bộ và kiểm toán độc lập.
• Thực hiện các công việc khác theo sự phân công của cấp trên.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-03-21,Kế Toán/Kiểm Toán,Dịch vụ kho bãi,3.0,Cử nhân,1,08:00 - 17:00,Trưởng phòng,"Kế Toán, Phân Tích Tài Chính, Phần Mềm Kế Toán",Tiếng Anh,Người Việt Nam,Bất kỳ,Thứ 2  đến Thứ 7,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Dịch vụ kho bãi, Kế Toán, Phân Tích Tài Chính, Phần Mềm Kế Toán, CÔNG TY CỔ PHẦN CẢNG CONTAINER QUỐC TẾ HATECO HẢI PHÒNG, Hải Phòng",Kế Toán Tài Chính,35,45,,,
Nhân Viên Đại Lý Tàu Biển,CÔNG TY CỔ PHẦN CẢNG CONTAINER QUỐC TẾ HATECO HẢI PHÒNG,"Bến số 5, số 6 khu Bến cảng Lạch Huyện, Cát Hải, TP. Hải Phòng, Bến 5-6 Lạch Huyện, Cát Hải, Hải Phòng","• Thực hiện các thủ tục cho tàu đến – làm hàng – rời cảng với các cơ quan chức năng như: Cảng vụ, Hải quan, Biên phòng, Kiểm dịch.
• Chuẩn bị và nộp các hồ sơ, chứng từ tàu theo quy định.
• Phối hợp với cảng, hoa tiêu, tàu lai dắt, nhà cung cấp dịch vụ để đảm bảo tàu khai thác đúng kế hoạch.
• Theo dõi tiến độ làm hàng và cập nhật tình hình tàu cho chủ tàu/hãng tàu.
• Hỗ trợ thuyền trưởng và thuyền viên trong các vấn đề liên quan đến tàu tại cảng.
• Tổ chức cung ứng dịch vụ cho tàu (nhiên liệu, nước ngọt, vật tư, sửa chữa, thay thuyền viên…) nếu tàu có nhu cầu.
• Kiểm soát chi phí tàu tại cảng.
• Báo cáo tình hình tàu, sự cố và các phát sinh trong quá trình tàu làm hàng.
• Duy trì quan hệ làm việc tốt với cơ quan chức năng và các đối tác dịch vụ cảng.
• Thực hiện các công việc khác theo phân phối từ Trưởng phòng khai thác và Trưởng điều hành khai thác.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-03-21,Khác,Dịch vụ kho bãi,3.0,,,,Nhân viên,"Dịch Vụ Đại Lý Tàu Biển, Giải Quyết Vấn Đề, Khai Thác Cảng Biển, Tiếng Anh",Tiếng Anh,Người Việt Nam,,,,"Khác, Khác, Dịch vụ kho bãi, Dịch Vụ Đại Lý Tàu Biển, Giải Quyết Vấn Đề, Khai Thác Cảng Biển, Tiếng Anh, CÔNG TY CỔ PHẦN CẢNG CONTAINER QUỐC TẾ HATECO HẢI PHÒNG, Hải Phòng",Khác,0,100,,,
